,frequency,key
0,1,4914
1,1,5049
2,1,6005
3,1,6065
4,1,6113
5,1,7335
6,1,8291
7,1,10876
8,1,10957
9,1,15754
10,1,16981
11,1,18786
12,1,22454
13,1,26654
14,1,28038
15,1,28709
16,1,31589
17,1,33786
18,1,34639
19,1,35148
20,1,36647
21,1,38708
22,1,39107
23,1,39786
24,1,40767
25,1,44397
26,1,46324
27,1,48271
28,1,51500
29,1,56730
30,1,57788
31,1,58640
32,1,60006
33,1,61646
34,1,61721
35,1,62442
36,1,62696
37,1,63049
38,1,63960
39,1,64298
40,1,65370
41,1,65943
42,1,65974
43,1,66724
44,1,67752
45,1,68039
46,1,69971
47,1,70573
48,1,71664
49,1,72869
50,1,72872
51,1,74497
52,1,78254
53,1,79752
54,1,83801
55,1,84096
56,1,88812
57,1,89724
58,1,90264
59,1,91261
60,1,92491
61,1,94538
62,1,98562
63,1,99289
64,1,99960
65,1,100127
66,1,101482
67,1,101714
68,1,101987
69,1,103093
70,1,106797
71,1,108618
72,1,108620
73,1,109534
74,1,110546
75,1,110911
76,1,119710
77,1,121564
78,1,121901
79,1,122647
80,1,123281
81,1,123899
82,1,124021
83,1,124410
84,1,124520
85,1,124560
86,1,128646
87,1,129148
88,1,130237
89,1,130289
90,1,132127
91,1,132589
92,1,132989
93,1,133107
94,1,134374
95,1,134584
96,1,135246
97,1,136662
98,1,138307
99,1,138362
100,1,139671
101,1,140391
102,1,142792
103,1,143757
104,1,143843
105,1,144959
106,1,147813
107,1,148947
108,1,150752
109,1,151622
110,1,151962
111,1,155811
112,1,155929
113,1,157336
114,1,157539
115,1,157560
116,1,158424
117,1,159734
118,1,159847
119,1,159901
120,1,160231
121,1,161353
122,1,162434
123,1,164126
124,1,166431
125,1,167002
126,1,170107
127,1,170350
128,1,170468
129,1,171884
130,1,175209
131,1,175896
132,1,176223
133,1,177727
134,1,178927
135,1,180184
136,1,180270
137,1,180585
138,1,182405
139,1,189527
140,1,190141
141,1,190163
142,1,190794
143,1,191824
144,1,195240
145,1,197604
146,1,198195
147,1,199202
148,1,199687
149,1,200206
150,1,203729
151,1,203905
152,1,208746
153,1,209217
154,1,209463
155,1,210645
